Merge #	Pair (bytes)	Pair (decoded)	Result (hex)
1443	(76, 64)	(v, d)	7664
1444	(76, 73)	(v, s)	7673
1445	(78, 66)	(x, f)	7866
1446	(79, 43)	(y, C)	7943
1447	(80, 82)	(80, 82)	8082
1448	(80, 89)	(80, 89)	8089
1449	(80, 95)	(80, 95)	8095
1450	(80, 9e)	(80, 9e)	809e
1451	(89, e7)	(89, e7)	89e7
1452	(a0, c2)	(a0, c2)	a0c2
1453	(a9, e5)	(a9, e5)	a9e5
1454	(bb, 96)	(bb, 96)	bb96
1455	(bb, bf)	(bb, bf)	bbbf
1456	(bc, 8c)	(bc, 8c)	bc8c
1457	(c2, a7)	(c2, a7)	c2a7
1458	(e4, bb)	(e4, bb)	e4bb
1459	(e5, b7)	(e5, b7)	e5b7
1460	(e7, 8e)	(e7, 8e)	e78e
1461	(ef, bb)	(ef, bb)	efbb
1462	(ef, bc)	(ef, bc)	efbc
1463	(f0, 9f)	(f0, 9f)	f09f
1464	(22, 24)	(", $)	2224
1465	(22, 3c)	(", <)	223c
1466	(25, 2e)	(%, .)	252e
1467	(29, 3a)	(), :)	293a
1468	(2c, 21)	(,, !)	2c21
1469	(2c, 5c)	(,, \)	2c5c
1470	(2d, 29)	(-, ))	2d29
1471	(2e, 2a)	(., *)	2e2a
1472	(34, 37)	(4, 7)	3437
1473	(35, 36)	(5, 6)	3536
1474	(35, 38)	(5, 8)	3538
1475	(37, 35)	(7, 5)	3735
1476	(37, 38)	(7, 8)	3738
1477	(3a, 29)	(:, ))	3a29
1478	(3b, 22)	(;, ")	3b22
1479	(41, 6f)	(A, o)	416f
1480	(43, 55)	(C, U)	4355
1481	(44, 4c)	(D, L)	444c
1482	(44, 52)	(D, R)	4452
1483	(44, 53)	(D, S)	4453
1484	(45, 42)	(E, B)	4542
1485	(45, 48)	(E, H)	4548
1486	(45, 49)	(E, I)	4549
1487	(45, 4d)	(E, M)	454d
1488	(45, 66)	(E, f)	4566
1489	(48, 54)	(H, T)	4854
1490	(4a, 45)	(J, E)	4a45
1491	(4a, 49)	(J, I)	4a49
1492	(4a, 4f)	(J, O)	4a4f
1493	(4d, 42)	(M, B)	4d42
1494	(4d, 47)	(M, G)	4d47
1495	(4e, 73)	(N, s)	4e73
1496	(50, 53)	(P, S)	5053
1497	(52, 47)	(R, G)	5247
1498	(52, 4b)	(R, K)	524b
1499	(57, 53)	(W, S)	5753
1500	(57, 59)	(W, Y)	5759
1501	(62, 64)	(b, d)	6264
1502	(62, 6b)	(b, k)	626b
1503	(64, 50)	(d, P)	6450
1504	(65, c3)	(65, c3)	65c3
1505	(6a, 73)	(j, s)	6a73
1506	(6b, 51)	(k, Q)	6b51
1507	(6d, 42)	(m, B)	6d42
1508	(6e, 41)	(n, A)	6e41
1509	(72, 48)	(r, H)	7248
1510	(72, 4d)	(r, M)	724d
1511	(72, 52)	(r, R)	7252
1512	(75, 54)	(u, T)	7554
1513	(75, 6a)	(u, j)	756a
1514	(76, 6e)	(v, n)	766e
1515	(81, a9)	(81, a9)	81a9
1516	(89, be)	(89, be)	89be
1517	(94, 22)	(94, 22)	9422
1518	(a6, 2c)	(a6, 2c)	a62c
1519	(b3, 6d)	(b3, 6d)	b36d
1520	(b3, e8)	(b3, e8)	b3e8
1521	(b4, 87)	(b4, 87)	b487
1522	(b4, e6)	(b4, e6)	b4e6
1523	(b7, b4)	(b7, b4)	b7b4
1524	(be, 88)	(be, 88)	be88
1525	(be, e7)	(be, e7)	bee7
1526	(c2, a1)	(c2, a1)	c2a1
1527	(e4, ba)	(e4, ba)	e4ba
1528	(e5, a5)	(e5, a5)	e5a5
1529	(e5, be)	(e5, be)	e5be
1530	(e6, 81)	(e6, 81)	e681
1531	(e8, 89)	(e8, 89)	e889
1532	(e8, 8e)	(e8, 8e)	e88e
1533	(09, 0a)	(	, 
)	090a
1534	(20, 09)	( , 	)	2009
1535	(20, ef)	(20, ef)	20ef
1536	(20, f0)	(20, f0)	20f0
1537	(21, 2d)	(!, -)	212d
1538	(22, 2a)	(", *)	222a
1539	(22, 5c)	(", \)	225c
1540	(27, 3a)	(', :)	273a
1541	(27, 3b)	(', ;)	273b
1542	(2a, 21)	(*, !)	2a21
1543	(2a, 22)	(*, ")	2a22
1544	(2b, 2e)	(+, .)	2b2e
1545	(2d, e2)	(2d, e2)	2de2
1546	(2e, 21)	(., !)	2e21
1547	(2e, ef)	(2e, ef)	2eef
1548	(2f, 2e)	(/, .)	2f2e
1549	(34, 38)	(4, 8)	3438
1550	(35, 34)	(5, 4)	3534
1551	(36, 34)	(6, 4)	3634
1552	(37, 32)	(7, 2)	3732
1553	(37, 34)	(7, 4)	3734
1554	(38, 35)	(8, 5)	3835
1555	(3c, 7c)	(<, |)	3c7c
1556	(3e, 22)	(>, ")	3e22
1557	(3e, 2e)	(>, .)	3e2e
1558	(3f, c2)	(3f, c2)	3fc2
1559	(41, 55)	(A, U)	4155
1560	(42, 4d)	(B, M)	424d
1561	(42, 57)	(B, W)	4257
1562	(42, 59)	(B, Y)	4259
1563	(43, 59)	(C, Y)	4359
1564	(44, 47)	(D, G)	4447
1565	(47, 47)	(G, G)	4747
1566	(47, 4b)	(G, K)	474b
1567	(47, 50)	(G, P)	4750
1568	(47, 59)	(G, Y)	4759
1569	(48, 44)	(H, D)	4844
1570	(48, 59)	(H, Y)	4859
1571	(48, 73)	(H, s)	4873
1572	(48, 77)	(H, w)	4877
1573	(49, 42)	(I, B)	4942
1574	(49, 49)	(I, I)	4949
1575	(49, 59)	(I, Y)	4959
1576	(49, 65)	(I, e)	4965
1577	(49, 77)	(I, w)	4977
1578	(4c, 57)	(L, W)	4c57
1579	(4e, 4c)	(N, L)	4e4c
1580	(4e, 56)	(N, V)	4e56
1581	(4f, 45)	(O, E)	4f45
1582	(4f, 64)	(O, d)	4f64
1583	(50, 79)	(P, y)	5079
1584	(51, 69)	(Q, i)	5169
1585	(53, 4d)	(S, M)	534d
1586	(53, c3)	(53, c3)	53c3
1587	(54, 4d)	(T, M)	544d
1588	(54, 57)	(T, W)	5457
1589	(55, 56)	(U, V)	5556
1590	(55, 63)	(U, c)	5563
1591	(57, 4b)	(W, K)	574b
1592	(57, 4c)	(W, L)	574c
1593	(58, 43)	(X, C)	5843
1594	(59, 46)	(Y, F)	5946
1595	(5a, 54)	(Z, T)	5a54
1596	(5d, 2c)	(], ,)	5d2c
1597	(5f, 21)	(_, !)	5f21
1598	(63, 67)	(c, g)	6367
1599	(63, 77)	(c, w)	6377
1600	(63, 7a)	(c, z)	637a
1601	(64, 45)	(d, E)	6445
1602	(64, 49)	(d, I)	6449
1603	(64, 52)	(d, R)	6452
1604	(64, c3)	(64, c3)	64c3
1605	(65, 49)	(e, I)	6549
1606	(65, 50)	(e, P)	6550
1607	(66, 68)	(f, h)	6668
1608	(67, 63)	(g, c)	6763
1609	(67, 6b)	(g, k)	676b
1610	(68, 4d)	(h, M)	684d
1611	(68, 76)	(h, v)	6876
1612	(6b, 49)	(k, I)	6b49
1613	(6b, 6a)	(k, j)	6b6a
1614	(6d, 59)	(m, Y)	6d59
1615	(6e, 47)	(n, G)	6e47
1616	(6e, 4c)	(n, L)	6e4c
1617	(6e, 54)	(n, T)	6e54
1618	(6f, 53)	(o, S)	6f53
1619	(70, c3)	(70, c3)	70c3
1620	(72, 46)	(r, F)	7246
1621	(72, 4a)	(r, J)	724a
1622	(73, 41)	(s, A)	7341
1623	(73, 4a)	(s, J)	734a
1624	(73, 4d)	(s, M)	734d
1625	(74, 49)	(t, I)	7449
1626	(74, 4d)	(t, M)	744d
1627	(77, 4a)	(w, J)	774a
1628	(77, 76)	(w, v)	7776
1629	(79, 42)	(y, B)	7942
1630	(79, 45)	(y, E)	7945
1631	(79, 54)	(y, T)	7954
1632	(7a, 64)	(z, d)	7a64
1633	(7c, 3e)	(|, >)	7c3e
1634	(7e, 7e)	(~, ~)	7e7e
1635	(80, 80)	(80, 80)	8080
1636	(80, 85)	(80, 85)	8085
1637	(80, 8e)	(80, 8e)	808e
1638	(80, 91)	(80, 91)	8091
1639	(80, aa)	(80, aa)	80aa
1640	(81, 8e)	(81, 8e)	818e
1641	(86, e7)	(86, e7)	86e7
1642	(87, 89)	(87, 89)	8789
1643	(87, aa)	(87, aa)	87aa
1644	(87, e1)	(87, e1)	87e1
1645	(88, 88)	(88, 88)	8888
1646	(88, e9)	(88, e9)	88e9
1647	(89, 9b)	(89, 9b)	899b
1648	(89, e5)	(89, e5)	89e5
1649	(89, e8)	(89, e8)	89e8
1650	(93, 2d)	(93, 2d)	932d
1651	(93, 42)	(93, 42)	9342
1652	(94, b0)	(94, b0)	94b0
1653	(94, e6)	(94, e6)	94e6
1654	(96, e5)	(96, e5)	96e5
1655	(9b, e7)	(9b, e7)	9be7
1656	(9c, e1)	(9c, e1)	9ce1
1657	(a0, 0a)	(a0, 0a)	a00a
1658	(a0, 20)	(a0, 20)	a020
1659	(a2, e1)	(a2, e1)	a2e1
1660	(a4, a9)	(a4, a9)	a4a9
1661	(a5, b9)	(a5, b9)	a5b9
1662	(a6, 27)	(a6, 27)	a627
1663	(a7, c2)	(a7, c2)	a7c2
1664	(a9, 63)	(a9, 63)	a963
1665	(a9, 6c)	(a9, 6c)	a96c
1666	(aa, e1)	(aa, e1)	aae1
1667	(aa, e2)	(aa, e2)	aae2
1668	(ad, 6f)	(ad, 6f)	ad6f
1669	(ad, 94)	(ad, 94)	ad94
1670	(b3, e7)	(b3, e7)	b3e7
1671	(b4, 85)	(b4, 85)	b485
1672	(b4, 8f)	(b4, 8f)	b48f
1673	(b4, a2)	(b4, a2)	b4a2
1674	(b8, 80)	(b8, 80)	b880
1675	(ba, 86)	(ba, 86)	ba86
1676	(c3, aa)	(c3, aa)	c3aa
1677	(c9, aa)	(c9, aa)	c9aa
1678	(ca, 9c)	(ca, 9c)	ca9c
1679	(e4, b8)	(e4, b8)	e4b8
1680	(e5, 80)	(e5, 80)	e580
1681	(e5, 85)	(e5, 85)	e585
1682	(e5, 88)	(e5, 88)	e588
1683	(e5, 89)	(e5, 89)	e589
1684	(e6, 87)	(e6, 87)	e687
1685	(e7, 94)	(e7, 94)	e794
1686	(e7, 95)	(e7, 95)	e795
1687	(e7, ad)	(e7, ad)	e7ad
1688	(e8, 87)	(e8, 87)	e887
1689	(e8, 88)	(e8, 88)	e888
1690	(e9, 81)	(e9, 81)	e981
1691	(20, 40)	( , @)	2040
1692	(20, 7c)	( , |)	207c
1693	(20, 7e)	( , ~)	207e
1694	(20, ca)	(20, ca)	20ca
1695	(20, e1)	(20, e1)	20e1
1696	(20, ee)	(20, ee)	20ee
1697	(21, 3c)	(!, <)	213c
1698	(22, 29)	(", ))	2229
1699	(22, 2f)	(", /)	222f
1700	(22, 40)	(", @)	2240
1701	(22, 5f)	(", _)	225f
1702	(22, ef)	(22, ef)	22ef
1703	(24, 2e)	($, .)	242e
1704	(27, 29)	(', ))	2729
1705	(27, 5c)	(', \)	275c
1706	(28, 22)	((, ")	2822
1707	(28, 27)	((, ')	2827
1708	(28, 2e)	((, .)	282e
1709	(29, 21)	(), !)	2921
1710	(29, 22)	(), ")	2922
1711	(29, 7d)	(), })	297d
1712	(2b, 21)	(+, !)	2b21
1713	(2c, 2d)	(,, -)	2c2d
1714	(2c, 3a)	(,, :)	2c3a
1715	(2c, 3f)	(,, ?)	2c3f
1716	(2d, 21)	(-, !)	2d21
1717	(2d, 28)	(-, ()	2d28
1718	(2d, 2c)	(-, ,)	2d2c
1719	(2d, 5f)	(-, _)	2d5f
1720	(2e, 26)	(., &)	2e26
1721	(2e, 2f)	(., /)	2e2f
1722	(2e, 5b)	(., [)	2e5b
1723	(2e, 7b)	(., {)	2e7b
1724	(2e, c2)	(2e, c2)	2ec2
1725	(2e, f0)	(2e, f0)	2ef0
1726	(2f, 22)	(/, ")	2f22
1727	(2f, 2f)	(/, /)	2f2f
1728	(2f, 3f)	(/, ?)	2f3f
1729	(30, 36)	(0, 6)	3036
1730	(30, 37)	(0, 7)	3037
1731	(32, 36)	(2, 6)	3236
1732	(34, 31)	(4, 1)	3431
1733	(35, 31)	(5, 1)	3531
1734	(35, 39)	(5, 9)	3539
1735	(36, 31)	(6, 1)	3631
1736	(36, 36)	(6, 6)	3636
1737	(36, 38)	(6, 8)	3638
1738	(37, 33)	(7, 3)	3733
1739	(37, 37)	(7, 7)	3737
1740	(38, 33)	(8, 3)	3833
1741	(38, 34)	(8, 4)	3834
1742	(39, 33)	(9, 3)	3933
1743	(39, 34)	(9, 4)	3934
1744	(3a, 27)	(:, ')	3a27
1745	(3a, 2f)	(:, /)	3a2f
1746	(3b, 3b)	(;, ;)	3b3b
1747	(3d, 2c)	(=, ,)	3d2c
1748	(3e, 2c)	(>, ,)	3e2c
1749	(3f, 3a)	(?, :)	3f3a
1750	(42, 46)	(B, F)	4246
1751	(42, 6a)	(B, j)	426a
1752	(42, 71)	(B, q)	4271
1753	(42, 73)	(B, s)	4273
1754	(42, 77)	(B, w)	4277
1755	(43, 42)	(C, B)	4342
1756	(43, 43)	(C, C)	4343
1757	(43, 50)	(C, P)	4350
1758	(44, 64)	(D, d)	4464
1759	(45, 46)	(E, F)	4546
1760	(45, 4a)	(E, J)	454a
1761	(45, 51)	(E, Q)	4551
1762	(46, 4d)	(F, M)	464d
1763	(46, 54)	(F, T)	4654
1764	(46, 59)	(F, Y)	4659
1765	(47, 46)	(G, F)	4746
1766	(47, 4c)	(G, L)	474c
1767	(47, 4d)	(G, M)	474d
1768	(47, 6d)	(G, m)	476d
1769	(48, 51)	(H, Q)	4851
1770	(48, 53)	(H, S)	4853
1771	(48, 57)	(H, W)	4857
1772	(49, 48)	(I, H)	4948
1773	(49, 51)	(I, Q)	4951
1774	(49, 68)	(I, h)	4968
1775	(49, 69)	(I, i)	4969
1776	(49, 71)	(I, q)	4971
1777	(49, c3)	(49, c3)	49c3
1778	(4a, 66)	(J, f)	4a66
1779	(4b, 4b)	(K, K)	4b4b
1780	(4b, 4e)	(K, N)	4b4e
1781	(4b, 53)	(K, S)	4b53
1782	(4b, 55)	(K, U)	4b55
1783	(4b, 59)	(K, Y)	4b59
1784	(4c, 4d)	(L, M)	4c4d
1785	(4c, 56)	(L, V)	4c56
1786	(4c, 73)	(L, s)	4c73
1787	(4c, c3)	(4c, c3)	4cc3
1788	(4d, 52)	(M, R)	4d52
1789	(4d, 53)	(M, S)	4d53
1790	(4d, 57)	(M, W)	4d57
1791	(4e, 6e)	(N, n)	4e6e
1792	(4f, 58)	(O, X)	4f58
1793	(4f, 65)	(O, e)	4f65
1794	(50, 43)	(P, C)	5043
1795	(50, 4e)	(P, N)	504e
1796	(50, 62)	(P, b)	5062
1797	(51, 52)	(Q, R)	5152
1798	(51, 58)	(Q, X)	5158
1799	(52, 46)	(R, F)	5246
1800	(52, 4c)	(R, L)	524c
1801	(52, 7a)	(R, z)	527a
1802	(53, 51)	(S, Q)	5351
1803	(53, 59)	(S, Y)	5359
1804	(53, 67)	(S, g)	5367
1805	(53, 7a)	(S, z)	537a
1806	(54, 59)	(T, Y)	5459
1807	(54, 62)	(T, b)	5462
1808	(55, 59)	(U, Y)	5559
1809	(55, 5a)	(U, Z)	555a
1810	(55, 6b)	(U, k)	556b
1811	(56, 43)	(V, C)	5643
1812	(56, 48)	(V, H)	5648
1813	(56, 4f)	(V, O)	564f
1814	(56, 75)	(V, u)	5675
1815	(57, 44)	(W, D)	5744
1816	(58, 59)	(X, Y)	5859
1817	(59, 42)	(Y, B)	5942
1818	(59, 4d)	(Y, M)	594d
1819	(59, 7a)	(Y, z)	597a
1820	(5a, 51)	(Z, Q)	5a51
1821	(5a, 64)	(Z, d)	5a64
1822	(5a, 73)	(Z, s)	5a73
1823	(5d, 22)	(], ")	5d22
1824	(5d, 2e)	(], .)	5d2e
1825	(5d, 5d)	(], ])	5d5d
1826	(5f, 27)	(_, ')	5f27
1827	(5f, 2c)	(_, ,)	5f2c
1828	(60, e2)	(60, e2)	60e2
1829	(61, 43)	(a, C)	6143
1830	(61, 52)	(a, R)	6152
1831	(61, 53)	(a, S)	6153
1832	(61, 54)	(a, T)	6154
1833	(61, 59)	(a, Y)	6159
1834	(62, 67)	(b, g)	6267
1835	(63, 52)	(c, R)	6352
1836	(63, 62)	(c, b)	6362
1837	(63, 66)	(c, f)	6366
1838	(63, 6a)	(c, j)	636a
1839	(64, 43)	(d, C)	6443
1840	(64, 48)	(d, H)	6448
1841	(64, 4b)	(d, K)	644b
1842	(64, 4c)	(d, L)	644c
1843	(64, 4e)	(d, N)	644e
1844	(64, 59)	(d, Y)	6459
1845	(65, 41)	(e, A)	6541
1846	(65, 47)	(e, G)	6547
1847	(65, 48)	(e, H)	6548
1848	(65, 54)	(e, T)	6554
1849	(65, 55)	(e, U)	6555
1850	(65, 57)	(e, W)	6557
1851	(65, 5a)	(e, Z)	655a
1852	(66, 46)	(f, F)	6646
1853	(66, 4a)	(f, J)	664a
1854	(66, 4c)	(f, L)	664c
1855	(66, 6a)	(f, j)	666a
1856	(66, 70)	(f, p)	6670
1857	(67, 49)	(g, I)	6749
1858	(67, 4a)	(g, J)	674a
1859	(67, 57)	(g, W)	6757
1860	(67, 76)	(g, v)	6776
1861	(67, c3)	(67, c3)	67c3
1862	(68, 42)	(h, B)	6842
1863	(68, 6a)	(h, j)	686a
1864	(6a, 54)	(j, T)	6a54
1865	(6a, 6d)	(j, m)	6a6d
1866	(6b, 4d)	(k, M)	6b4d
1867	(6b, 4f)	(k, O)	6b4f
1868	(6b, c3)	(6b, c3)	6bc3
1869	(6c, 49)	(l, I)	6c49
1870	(6c, 4e)	(l, N)	6c4e
1871	(6c, 4f)	(l, O)	6c4f
1872	(6c, 50)	(l, P)	6c50
1873	(6d, 46)	(m, F)	6d46
1874	(6d, 57)	(m, W)	6d57
1875	(6d, 71)	(m, q)	6d71
1876	(6d, 76)	(m, v)	6d76
1877	(6d, 7a)	(m, z)	6d7a
1878	(6e, 45)	(n, E)	6e45
1879	(6e, 46)	(n, F)	6e46
1880	(6e, 5a)	(n, Z)	6e5a
1881	(6f, 47)	(o, G)	6f47
1882	(6f, 4c)	(o, L)	6f4c
1883	(6f, 52)	(o, R)	6f52
1884	(6f, 54)	(o, T)	6f54
1885	(6f, 55)	(o, U)	6f55
1886	(70, 41)	(p, A)	7041
1887	(70, 4d)	(p, M)	704d
1888	(70, 50)	(p, P)	7050
1889	(70, 76)	(p, v)	7076
1890	(71, 61)	(q, a)	7161
1891	(71, 6c)	(q, l)	716c
1892	(72, 41)	(r, A)	7241
1893	(72, 4c)	(r, L)	724c
1894	(72, 50)	(r, P)	7250
1895	(72, 53)	(r, S)	7253
1896	(72, d1)	(72, d1)	72d1
1897	(73, 44)	(s, D)	7344
1898	(73, 46)	(s, F)	7346
1899	(73, 47)	(s, G)	7347
1900	(73, 48)	(s, H)	7348
1901	(73, 4c)	(s, L)	734c
1902	(73, 4f)	(s, O)	734f
1903	(73, 52)	(s, R)	7352
1904	(73, 54)	(s, T)	7354
1905	(73, 56)	(s, V)	7356
1906	(73, c9)	(73, c9)	73c9
1907	(73, e1)	(73, e1)	73e1
1908	(74, 42)	(t, B)	7442
1909	(74, 43)	(t, C)	7443
1910	(74, 48)	(t, H)	7448
1911	(74, 4e)	(t, N)	744e
1912	(74, 50)	(t, P)	7450
1913	(74, 6a)	(t, j)	746a
1914	(74, 71)	(t, q)	7471
1915	(75, 49)	(u, I)	7549
1916	(76, 6c)	(v, l)	766c
1917	(76, 74)	(v, t)	7674
1918	(76, c3)	(76, c3)	76c3
1919	(77, 41)	(w, A)	7741
1920	(77, 44)	(w, D)	7744
1921	(77, 53)	(w, S)	7753
1922	(77, 57)	(w, W)	7757
1923	(77, 7a)	(w, z)	777a
1924	(78, 72)	(x, r)	7872
1925	(79, 4a)	(y, J)	794a
1926	(79, 4b)	(y, K)	794b
1927	(79, 4d)	(y, M)	794d
1928	(79, 56)	(y, V)	7956
1929	(79, 71)	(y, q)	7971
1930	(7a, 59)	(z, Y)	7a59
1931	(7a, 68)	(z, h)	7a68
1932	(7a, 6e)	(z, n)	7a6e
1933	(7a, 70)	(z, p)	7a70
1934	(7e, e2)	(7e, e2)	7ee2
1935	(80, 20)	(80, 20)	8020
1936	(80, 73)	(80, 73)	8073
1937	(80, 8c)	(80, 8c)	808c
1938	(80, 90)	(80, 90)	8090
1939	(80, 9a)	(80, 9a)	809a
1940	(80, a9)	(80, a9)	80a9
1941	(80, e5)	(80, e5)	80e5
1942	(80, e6)	(80, e6)	80e6
1943	(81, 8a)	(81, 8a)	818a
1944	(83, e6)	(83, e6)	83e6
1945	(84, ca)	(84, ca)	84ca
1946	(84, e7)	(84, e7)	84e7
1947	(85, 92)	(85, 92)	8592
1948	(85, a9)	(85, a9)	85a9
1949	(85, e1)	(85, e1)	85e1
1950	(86, e4)	(86, e4)	86e4
1951	(86, e6)	(86, e6)	86e6
1952	(88, 86)	(88, 86)	8886
1953	(88, 92)	(88, 92)	8892
1954	(88, b0)	(88, b0)	88b0
1955	(88, e5)	(88, e5)	88e5
1956	(88, e7)	(88, e7)	88e7
1957	(88, e8)	(88, e8)	88e8
1958	(89, e4)	(89, e4)	89e4
1959	(8a, 20)	(8a, 20)	8a20
1960	(8a, 8a)	(8a, 8a)	8a8a
1961	(8a, e4)	(8a, e4)	8ae4
1962	(8b, 21)	(8b, 21)	8b21
1963	(8b, e7)	(8b, e7)	8be7
1964	(8c, 2e)	(8c, 2e)	8c2e
1965	(8c, b4)	(8c, b4)	8cb4
1966	(8c, e8)	(8c, e8)	8ce8
1967	(8d, 8c)	(8d, 8c)	8d8c
1968	(8d, a8)	(8d, a8)	8da8
1969	(8e, 93)	(8e, 93)	8e93
1970	(8e, e4)	(8e, e4)	8ee4
1971	(8f, 88)	(8f, 88)	8f88
1972	(8f, d2)	(8f, d2)	8fd2
1973	(8f, e1)	(8f, e1)	8fe1
1974	(91, e5)	(91, e5)	91e5
1975	(92, 8c)	(92, 8c)	928c
1976	(92, e7)	(92, e7)	92e7
1977	(93, 49)	(93, 49)	9349
1978	(93, 4c)	(93, 4c)	934c
1979	(93, 4e)	(93, 4e)	934e
1980	(93, e1)	(93, e1)	93e1
1981	(94, 80)	(94, 80)	9480
1982	(94, e2)	(94, e2)	94e2
1983	(95, 99)	(95, 99)	9599
1984	(95, b4)	(95, b4)	95b4
1985	(95, b6)	(95, b6)	95b6
1986	(96, 67)	(96, 67)	9667
1987	(96, e6)	(96, e6)	96e6
1988	(96, e7)	(96, e7)	96e7
1989	(98, af)	(98, af)	98af
1990	(98, e8)	(98, e8)	98e8
1991	(99, 22)	(99, 22)	9922
1992	(99, 82)	(99, 82)	9982
1993	(99, ca)	(99, ca)	99ca
1994	(99, e4)	(99, e4)	99e4
1995	(99, e9)	(99, e9)	99e9
1996	(9a, 22)	(9a, 22)	9a22
1997	(9a, 84)	(9a, 84)	9a84
1998	(9b, 73)	(9b, 73)	9b73
1999	(9b, a3)	(9b, a3)	9ba3
2000	(9b, e5)	(9b, e5)	9be5
2001	(9c, 2a)	(9c, 2a)	9c2a
2002	(9c, 2c)	(9c, 2c)	9c2c
2003	(9c, 83)	(9c, 83)	9c83
2004	(9c, a8)	(9c, a8)	9ca8
2005	(9c, c9)	(9c, c9)	9cc9
2006	(9d, 3b)	(9d, 3b)	9d3b
2007	(9d, a4)	(9d, a4)	9da4
2008	(9d, e7)	(9d, e7)	9de7
2009	(9f, 6e)	(9f, 6e)	9f6e
2010	(9f, 8c)	(9f, 8c)	9f8c
2011	(9f, 8d)	(9f, 8d)	9f8d
2012	(9f, 8e)	(9f, 8e)	9f8e
2013	(9f, a4)	(9f, a4)	9fa4
2014	(a1, 6e)	(a1, 6e)	a16e
2015	(a1, ca)	(a1, ca)	a1ca
2016	(a1, e5)	(a1, e5)	a1e5
2017	(a2, 27)	(a2, 27)	a227
2018	(a3, a1)	(a3, a1)	a3a1
2019	(a3, e9)	(a3, e9)	a3e9
2020	(a4, ef)	(a4, ef)	a4ef
2021	(a5, ae)	(a5, ae)	a5ae
2022	(a5, e5)	(a5, e5)	a5e5
2023	(a6, 21)	(a6, 21)	a621
2024	(a6, 3f)	(a6, 3f)	a63f
2025	(a6, e5)	(a6, e5)	a6e5
2026	(a6, e9)	(a6, e9)	a6e9
2027	(a8, 6d)	(a8, 6d)	a86d
2028	(a8, e4)	(a8, e4)	a8e4
2029	(a8, e8)	(a8, e8)	a8e8
2030	(a9, 0a)	(a9, 0a)	a90a
2031	(a9, 54)	(a9, 54)	a954
2032	(a9, 6e)	(a9, 6e)	a96e
2033	(a9, 74)	(a9, 74)	a974
2034	(a9, 78)	(a9, 78)	a978
2035	(a9, 79)	(a9, 79)	a979
2036	(aa, e4)	(aa, e4)	aae4
2037	(aa, e5)	(aa, e5)	aae5
2038	(ab, 98)	(ab, 98)	ab98
2039	(ab, a5)	(ab, a5)	aba5
2040	(ad, 74)	(ad, 74)	ad74
2041	(ad, c2)	(ad, c2)	adc2
2042	(ad, e2)	(ad, e2)	ade2
2043	(af, e7)	(af, e7)	afe7
2044	(b0, 74)	(b0, 74)	b074
2045	(b0, e4)	(b0, e4)	b0e4
2046	(b0, e6)	(b0, e6)	b0e6
2047	(b0, e8)	(b0, e8)	b0e8
2048	(b1, e7)	(b1, e7)	b1e7
2049	(b3, e5)	(b3, e5)	b3e5
2050	(b4, 2c)	(b4, 2c)	b42c
2051	(b4, 80)	(b4, 80)	b480
2052	(b4, 84)	(b4, 84)	b484
2053	(b4, 9b)	(b4, 9b)	b49b
2054	(b4, 9c)	(b4, 9c)	b49c
2055	(b4, a1)	(b4, a1)	b4a1
2056	(b4, e5)	(b4, e5)	b4e5
2057	(b5, a6)	(b5, a6)	b5a6
2058	(b6, 62)	(b6, 62)	b662
2059	(b6, e4)	(b6, e4)	b6e4
2060	(b7, b1)	(b7, b1)	b7b1
2061	(b8, 8f)	(b8, 8f)	b88f
2062	(b9, e5)	(b9, e5)	b9e5
2063	(ba, 9b)	(ba, 9b)	ba9b
2064	(ba, a6)	(ba, a6)	baa6
2065	(bd, 86)	(bd, 86)	bd86
2066	(bf, 9d)	(bf, 9d)	bf9d
2067	(bf, bd)	(bf, bd)	bfbd
2068	(bf, ef)	(bf, ef)	bfef
2069	(c2, 92)	(c2, 92)	c292
2070	(c2, a2)	(c2, a2)	c2a2
2071	(c2, b0)	(c2, b0)	c2b0
2072	(c2, b7)	(c2, b7)	c2b7
2073	(c3, 9f)	(c3, 9f)	c39f
2074	(c3, b6)	(c3, b6)	c3b6
2075	(c3, ba)	(c3, ba)	c3ba
2076	(c4, b0)	(c4, b0)	c4b0
2077	(ca, 8f)	(ca, 8f)	ca8f
2078	(ca, 99)	(ca, 99)	ca99
2079	(d1, 96)	(d1, 96)	d196
2080	(d2, 93)	(d2, 93)	d293
2081	(e2, 88)	(e2, 88)	e288
2082	(e2, 94)	(e2, 94)	e294
2083	(e2, 9d)	(e2, 9d)	e29d
2084	(e4, bd)	(e4, bd)	e4bd
2085	(e4, bf)	(e4, bf)	e4bf
2086	(e5, 8f)	(e5, 8f)	e58f
2087	(e5, 92)	(e5, 92)	e592
2088	(e5, 9c)	(e5, 9c)	e59c
2089	(e5, a4)	(e5, a4)	e5a4
2090	(e5, ba)	(e5, ba)	e5ba
2091	(e6, 8a)	(e6, 8a)	e68a
2092	(e6, 95)	(e6, 95)	e695
2093	(e6, 98)	(e6, 98)	e698
2094	(e6, 99)	(e6, 99)	e699
2095	(e6, 9c)	(e6, 9c)	e69c
2096	(e7, 8d)	(e7, 8d)	e78d
2097	(e7, 9a)	(e7, 9a)	e79a
2098	(e7, ab)	(e7, ab)	e7ab
2099	(e7, b5)	(e7, b5)	e7b5
