ID	Token (bytes)	Token (decoded)	Length
2084	5f2c	'_,'	2
2085	60e2	<not UTF-8>	2
2086	6143	'aC'	2
2087	6152	'aR'	2
2088	6153	'aS'	2
2089	6154	'aT'	2
2090	6159	'aY'	2
2091	6267	'bg'	2
2092	6352	'cR'	2
2093	6362	'cb'	2
2094	6366	'cf'	2
2095	636a	'cj'	2
2096	6443	'dC'	2
2097	6448	'dH'	2
2098	644b	'dK'	2
2099	644c	'dL'	2
2100	644e	'dN'	2
2101	6459	'dY'	2
2102	6541	'eA'	2
2103	6547	'eG'	2
2104	6548	'eH'	2
2105	6554	'eT'	2
2106	6555	'eU'	2
2107	6557	'eW'	2
2108	655a	'eZ'	2
2109	6646	'fF'	2
2110	664a	'fJ'	2
2111	664c	'fL'	2
2112	666a	'fj'	2
2113	6670	'fp'	2
2114	6749	'gI'	2
2115	674a	'gJ'	2
2116	6757	'gW'	2
2117	6776	'gv'	2
2118	67c3	<not UTF-8>	2
2119	6842	'hB'	2
2120	686a	'hj'	2
2121	6a54	'jT'	2
2122	6a6d	'jm'	2
2123	6b4d	'kM'	2
2124	6b4f	'kO'	2
2125	6bc3	<not UTF-8>	2
2126	6c49	'lI'	2
2127	6c4e	'lN'	2
2128	6c4f	'lO'	2
2129	6c50	'lP'	2
2130	6d46	'mF'	2
2131	6d57	'mW'	2
2132	6d71	'mq'	2
2133	6d76	'mv'	2
2134	6d7a	'mz'	2
2135	6e45	'nE'	2
2136	6e46	'nF'	2
2137	6e5a	'nZ'	2
2138	6f47	'oG'	2
2139	6f4c	'oL'	2
2140	6f52	'oR'	2
2141	6f54	'oT'	2
2142	6f55	'oU'	2
2143	7041	'pA'	2
2144	704d	'pM'	2
2145	7050	'pP'	2
2146	7076	'pv'	2
2147	7161	'qa'	2
2148	716c	'ql'	2
2149	7241	'rA'	2
2150	724c	'rL'	2
2151	7250	'rP'	2
2152	7253	'rS'	2
2153	72d1	<not UTF-8>	2
2154	7344	'sD'	2
2155	7346	'sF'	2
2156	7347	'sG'	2
2157	7348	'sH'	2
2158	734c	'sL'	2
2159	734f	'sO'	2
2160	7352	'sR'	2
2161	7354	'sT'	2
2162	7356	'sV'	2
2163	73c9	<not UTF-8>	2
2164	73e1	<not UTF-8>	2
2165	7442	'tB'	2
2166	7443	'tC'	2
2167	7448	'tH'	2
2168	744e	'tN'	2
2169	7450	'tP'	2
2170	746a	'tj'	2
2171	7471	'tq'	2
2172	7549	'uI'	2
2173	766c	'vl'	2
2174	7674	'vt'	2
2175	76c3	<not UTF-8>	2
2176	7741	'wA'	2
2177	7744	'wD'	2
2178	7753	'wS'	2
2179	7757	'wW'	2
2180	777a	'wz'	2
2181	7872	'xr'	2
2182	794a	'yJ'	2
2183	794b	'yK'	2
2184	794d	'yM'	2
2185	7956	'yV'	2
2186	7971	'yq'	2
2187	7a59	'zY'	2
2188	7a68	'zh'	2
2189	7a6e	'zn'	2
2190	7a70	'zp'	2
2191	7ee2	<not UTF-8>	2
2192	8020	<not UTF-8>	2
2193	8073	<not UTF-8>	2
2194	808c	<not UTF-8>	2
2195	8090	<not UTF-8>	2
2196	809a	<not UTF-8>	2
2197	80a9	<not UTF-8>	2
2198	80e5	<not UTF-8>	2
2199	80e6	<not UTF-8>	2
2200	818a	<not UTF-8>	2
2201	83e6	<not UTF-8>	2
2202	84ca	<not UTF-8>	2
2203	84e7	<not UTF-8>	2
2204	8592	<not UTF-8>	2
2205	85a9	<not UTF-8>	2
2206	85e1	<not UTF-8>	2
2207	86e4	<not UTF-8>	2
2208	86e6	<not UTF-8>	2
2209	8886	<not UTF-8>	2
2210	8892	<not UTF-8>	2
2211	88b0	<not UTF-8>	2
2212	88e5	<not UTF-8>	2
2213	88e7	<not UTF-8>	2
2214	88e8	<not UTF-8>	2
2215	89e4	<not UTF-8>	2
2216	8a20	<not UTF-8>	2
2217	8a8a	<not UTF-8>	2
2218	8ae4	<not UTF-8>	2
2219	8b21	<not UTF-8>	2
2220	8be7	<not UTF-8>	2
2221	8c2e	<not UTF-8>	2
2222	8cb4	<not UTF-8>	2
2223	8ce8	<not UTF-8>	2
2224	8d8c	<not UTF-8>	2
2225	8da8	<not UTF-8>	2
2226	8e93	<not UTF-8>	2
2227	8ee4	<not UTF-8>	2
2228	8f88	<not UTF-8>	2
2229	8fd2	<not UTF-8>	2
2230	8fe1	<not UTF-8>	2
2231	91e5	<not UTF-8>	2
2232	928c	<not UTF-8>	2
2233	92e7	<not UTF-8>	2
2234	9349	<not UTF-8>	2
2235	934c	<not UTF-8>	2
2236	934e	<not UTF-8>	2
2237	93e1	<not UTF-8>	2
2238	9480	<not UTF-8>	2
2239	94e2	<not UTF-8>	2
2240	9599	<not UTF-8>	2
2241	95b4	<not UTF-8>	2
2242	95b6	<not UTF-8>	2
2243	9667	<not UTF-8>	2
2244	96e6	<not UTF-8>	2
2245	96e7	<not UTF-8>	2
2246	98af	<not UTF-8>	2
2247	98e8	<not UTF-8>	2
2248	9922	<not UTF-8>	2
2249	9982	<not UTF-8>	2
2250	99ca	<not UTF-8>	2
2251	99e4	<not UTF-8>	2
2252	99e9	<not UTF-8>	2
2253	9a22	<not UTF-8>	2
2254	9a84	<not UTF-8>	2
2255	9b73	<not UTF-8>	2
2256	9ba3	<not UTF-8>	2
2257	9be5	<not UTF-8>	2
2258	9c2a	<not UTF-8>	2
2259	9c2c	<not UTF-8>	2
2260	9c83	<not UTF-8>	2
2261	9ca8	<not UTF-8>	2
2262	9cc9	<not UTF-8>	2
2263	9d3b	<not UTF-8>	2
2264	9da4	<not UTF-8>	2
2265	9de7	<not UTF-8>	2
2266	9f6e	<not UTF-8>	2
2267	9f8c	<not UTF-8>	2
2268	9f8d	<not UTF-8>	2
2269	9f8e	<not UTF-8>	2
2270	9fa4	<not UTF-8>	2
2271	a16e	<not UTF-8>	2
2272	a1ca	<not UTF-8>	2
2273	a1e5	<not UTF-8>	2
2274	a227	<not UTF-8>	2
2275	a3a1	<not UTF-8>	2
2276	a3e9	<not UTF-8>	2
2277	a4ef	<not UTF-8>	2
2278	a5ae	<not UTF-8>	2
2279	a5e5	<not UTF-8>	2
2280	a621	<not UTF-8>	2
2281	a63f	<not UTF-8>	2
2282	a6e5	<not UTF-8>	2
2283	a6e9	<not UTF-8>	2
2284	a86d	<not UTF-8>	2
2285	a8e4	<not UTF-8>	2
2286	a8e8	<not UTF-8>	2
2287	a90a	<not UTF-8>	2
2288	a954	<not UTF-8>	2
2289	a96e	<not UTF-8>	2
2290	a974	<not UTF-8>	2
2291	a978	<not UTF-8>	2
2292	a979	<not UTF-8>	2
2293	aae4	<not UTF-8>	2
2294	aae5	<not UTF-8>	2
2295	ab98	<not UTF-8>	2
2296	aba5	<not UTF-8>	2
2297	ad74	<not UTF-8>	2
2298	adc2	<not UTF-8>	2
2299	ade2	<not UTF-8>	2
2300	afe7	<not UTF-8>	2
2301	b074	<not UTF-8>	2
2302	b0e4	<not UTF-8>	2
2303	b0e6	<not UTF-8>	2
2304	b0e8	<not UTF-8>	2
2305	b1e7	<not UTF-8>	2
2306	b3e5	<not UTF-8>	2
2307	b42c	<not UTF-8>	2
2308	b480	<not UTF-8>	2
2309	b484	<not UTF-8>	2
2310	b49b	<not UTF-8>	2
2311	b49c	<not UTF-8>	2
2312	b4a1	<not UTF-8>	2
2313	b4e5	<not UTF-8>	2
2314	b5a6	<not UTF-8>	2
2315	b662	<not UTF-8>	2
2316	b6e4	<not UTF-8>	2
2317	b7b1	<not UTF-8>	2
2318	b88f	<not UTF-8>	2
2319	b9e5	<not UTF-8>	2
2320	ba9b	<not UTF-8>	2
2321	baa6	<not UTF-8>	2
2322	bd86	<not UTF-8>	2
2323	bf9d	<not UTF-8>	2
2324	bfbd	<not UTF-8>	2
2325	bfef	<not UTF-8>	2
2326	c292	'\x92'	2
2327	c2a2	'¢'	2
2328	c2b0	'°'	2
2329	c2b7	'·'	2
2330	c39f	'ß'	2
2331	c3b6	'ö'	2
2332	c3ba	'ú'	2
2333	c4b0	'İ'	2
2334	ca8f	'ʏ'	2
2335	ca99	'ʙ'	2
2336	d196	'і'	2
2337	d293	'ғ'	2
2338	e288	<not UTF-8>	2
2339	e294	<not UTF-8>	2
2340	e29d	<not UTF-8>	2
2341	e4bd	<not UTF-8>	2
2342	e4bf	<not UTF-8>	2
2343	e58f	<not UTF-8>	2
2344	e592	<not UTF-8>	2
2345	e59c	<not UTF-8>	2
2346	e5a4	<not UTF-8>	2
2347	e5ba	<not UTF-8>	2
2348	e68a	<not UTF-8>	2
2349	e695	<not UTF-8>	2
2350	e698	<not UTF-8>	2
2351	e699	<not UTF-8>	2
2352	e69c	<not UTF-8>	2
2353	e78d	<not UTF-8>	2
2354	e79a	<not UTF-8>	2
2355	e7ab	<not UTF-8>	2
2356	e7b5	<not UTF-8>	2
2357	e8a3	<not UTF-8>	2
2358	e980	<not UTF-8>	2
2359	e99b	<not UTF-8>	2
2360	e9ab	<not UTF-8>	2
2361	ee80	<not UTF-8>	2
2362	ef81	<not UTF-8>	2
2363	efb8	<not UTF-8>	2
2364	efbf	<not UTF-8>	2
